"","SerialNumber","TransportationMode","ArrivalTime","Age","ClassOfWorker","Occupation","Sex","MaritalStatus","HealthInsurance","EducationLevel","TotalIncome","IncomeAdjuster","PUMA","HomeOffice"
"1",52,"Driving",96,69,6,6200,1,1,1,22,86500,1007588,11106,0
"2",53,"Home Office",NA,61,1,5860,2,1,1,21,15600,1007588,11106,1
"3",54,"Driving",96,26,1,6420,1,5,2,19,3600,1007588,11106,0
"4",236,"Walking",198,37,1,1550,2,5,1,22,32000,1007588,8303,0
"5",309,"Driving",100,55,1,6440,1,1,1,6,79000,1007588,11103,0
"6",310,"Driving",83,51,1,5120,2,1,1,16,120000,1007588,11103,0
"7",311,"Driving",90,31,1,3600,1,5,1,17,35000,1007588,11103,0
"8",312,NA,NA,28,1,4010,2,1,1,9,2000,1007588,11103,0
"9",313,"Driving",100,24,1,4720,2,5,2,19,22000,1007588,11103,0
"10",314,NA,NA,13,NA,NA,1,5,1,9,NA,1007588,11103,0
"11",315,NA,NA,12,NA,NA,1,5,1,9,NA,1007588,11103,0
"12",316,NA,NA,9,NA,NA,2,5,2,4,NA,1007588,11103,0
"13",317,NA,NA,7,NA,NA,1,5,2,6,NA,1007588,11103,0
"14",318,NA,NA,7,NA,NA,1,5,2,3,NA,1007588,11103,0
"15",319,NA,NA,4,NA,NA,2,5,1,1,NA,1007588,11103,0
"16",320,NA,NA,4,NA,NA,2,5,1,1,NA,1007588,11103,0
"17",321,NA,NA,31,NA,NA,2,1,1,12,0,1007588,11103,0
"18",569,NA,NA,41,1,8220,1,5,1,20,0,1007588,8303,0
"19",717,"Driving",92,48,6,2100,2,3,1,23,349000,1007588,11106,0
"20",718,NA,NA,12,NA,NA,2,5,1,9,NA,1007588,11106,0
"21",719,NA,NA,18,NA,NA,1,5,1,14,0,1007588,11106,0
"22",720,NA,NA,50,1,2100,1,3,1,24,40000,1007588,11106,0
"23",730,"Biking",164,20,1,1965,1,5,1,19,1600,1007588,8303,0
"24",731,"Biking",113,20,1,1965,2,5,1,19,5000,1007588,8303,0
"25",806,NA,NA,73,NA,NA,1,1,1,21,333000,1007588,8303,0
"26",807,NA,NA,73,NA,NA,2,1,1,21,308000,1007588,8303,0
"27",1603,"Driving",80,26,4,2310,2,5,1,22,70000,1007588,8303,0
"28",1604,"Driving",107,41,1,4850,1,5,1,21,42000,1007588,8303,0
"29",1921,NA,NA,18,NA,NA,2,5,1,18,0,1007588,8303,0
"30",1942,"Home Office",NA,46,2,420,1,1,1,21,72000,1007588,8303,1
"31",1943,"Home Office",NA,61,1,120,1,1,1,21,100000,1007588,8303,1
"32",2102,NA,NA,41,NA,NA,1,3,1,14,0,1007588,8303,0
"33",2238,NA,NA,43,3,2320,1,1,1,21,90000,1007588,8303,0
"34",2239,"Driving",109,39,1,630,2,1,1,21,80000,1007588,8303,0
"35",2240,NA,NA,4,NA,NA,2,5,1,1,NA,1007588,8303,0
"36",2241,NA,NA,2,NA,NA,1,5,1,NA,NA,1007588,8303,0
"37",2693,"Home Office",NA,56,1,7750,1,1,1,15,40000,1007588,8303,1
"38",2694,"Public Transit",91,54,1,4230,2,1,1,17,2000,1007588,8303,0
"39",2695,NA,NA,19,NA,NA,1,5,1,19,0,1007588,8303,0
"40",2696,"Driving",91,18,1,4610,1,5,1,16,350,1007588,8303,0
"41",2830,"Public Transit",100,59,6,800,2,3,1,21,27300,1007588,11106,0
"42",3146,NA,NA,83,NA,NA,1,1,1,19,135000,1007588,8303,0
"43",3147,NA,NA,80,NA,NA,2,1,1,16,135000,1007588,8303,0
"44",3148,"Biking",102,58,1,4750,1,5,1,16,50000,1007588,8303,0
"45",3294,NA,NA,58,NA,NA,2,3,1,18,11500,1007588,8303,0
"46",3307,NA,NA,19,1,9620,1,5,1,19,5000,1007588,8303,0
"47",3376,NA,NA,73,NA,NA,1,2,1,23,121600,1007588,8303,0
"48",3377,NA,NA,79,NA,NA,2,2,1,21,29201,1007588,8303,0
"49",3448,NA,NA,64,6,2850,2,1,1,21,97100,1007588,8303,0
"50",3449,NA,NA,69,NA,NA,1,1,1,19,25000,1007588,8303,0
"51",3640,"Driving",76,58,5,5550,1,5,1,20,66000,1007588,11103,0
"52",4281,NA,NA,87,NA,NA,1,1,1,21,55300,1007588,11106,0
"53",4282,NA,NA,84,NA,NA,2,1,1,20,65500,1007588,11106,0
