"TransportationMode" "ClassOfWorker" "Sex" "MaritalStatus" "HealthInsurance" "EducationLevel" "HomeOffice" "AgeBracket" "OccupationType" "RelativeIncome" "CommuteTime"
"Walking" "Employee" "Female" "Not Married" "Health Insurance" "Master" "Not Home Office" "30-39" "Other" "Rather Low" "No"
NA "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Very Low" NA
"Biking" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Research" "Very Low" "No"
"Biking" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Research" "Very Low" "No"
NA NA "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Rather High" NA
NA NA "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Rather High" NA
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "Master" "Not Home Office" "18-29" "Education" "Somewhere In The Middle" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "PR, Marketing, Sales, Advertising" "Rather Low" "Yes"
NA NA "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" NA
"Home Office" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Home Office" "40-49" "Higher Management" "Somewhere In The Middle" "Yes"
"Home Office" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Home Office" "60+" "Higher Management" "Somewhere In The Middle" "Yes"
NA NA "Male" "Separated, Divorced, Widowed" "Health Insurance" "No Education" "Not Home Office" "40-49" NA "Very Low" NA
NA "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Education" "Somewhere In The Middle" NA
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "Business Development" "Somewhere In The Middle" "No"
"Home Office" "Employee" "Male" "Married" "Health Insurance" "No Education" "Home Office" "50-59" "Other" "Rather Low" "Yes"
"Public Transit" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Very Low" "No"
NA NA "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" NA
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
NA NA "Male" "Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Rather High" NA
NA NA "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Rather High" NA
"Biking" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "No"
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "50-59" NA "Very Low" NA
NA "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" NA
NA NA "Male" "Separated, Divorced, Widowed" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Rather High" NA
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Rather Low" NA
