"","USPS","GEOID","ALAND","AWATER","ALAND_SQMI","AWATER_SQMI","INTPTLAT","INTPTLONG"
"1","CA","6001400100",6894340,0,2.662,0,37.8676275,-122.231946
"2","CA","6001400200",587450,0,0.227,0,37.8481386,-122.2495968
"3","CA","6001400300",1105329,0,0.427,0,37.8405983,-122.2544365
"4","CA","6001400400",714728,0,0.276,0,37.8482803,-122.2574533
"5","CA","6001400500",590307,0,0.228,0,37.8485412,-122.2647277
"6","CA","6001400600",297856,0,0.115,0,37.8419909,-122.2648882
"7","CA","6001400700",880303,0,0.34,0,37.8417667,-122.2723529
"8","CA","6001400800",696240,0,0.269,0,37.8454675,-122.2833944
"9","CA","6001400900",420877,0,0.163,0,37.8394912,-122.2802646
"10","CA","6001401000",1144333,0,0.442,0,37.8312255,-122.2719014
"11","CA","6001401100",883273,0,0.341,0,37.8305038,-122.2638582
"12","CA","6001401200",665876,0,0.257,0,37.8306139,-122.2579003
"13","CA","6001401300",858458,0,0.331,0,37.8181162,-122.2666978
"14","CA","6001401400",758204,0,0.293,0,37.820756,-122.2733874
"15","CA","6001401500",467740,0,0.181,0,37.8229286,-122.2806336
"16","CA","6001401600",636068,0,0.246,0,37.8173716,-122.2814825
"17","CA","6001401700",5757361,5813128,2.223,2.244,37.8225184,-122.3077741
"18","CA","6001401800",298634,0,0.115,0,37.8095326,-122.2982355
"19","CA","6001402200",712081,0,0.275,0,37.8063521,-122.2963073
"20","CA","6001402400",337079,0,0.13,0,37.812031,-122.2824569
"21","CA","6001402500",365454,0,0.141,0,37.8057305,-122.2847803
"22","CA","6001402600",318842,0,0.123,0,37.8042701,-122.2799551
"23","CA","6001402700",398820,0,0.154,0,37.8103873,-122.276991
"24","CA","6001402800",398312,0,0.154,0,37.808718,-122.2715001
"25","CA","6001402900",391799,0,0.151,0,37.8071721,-122.2667847
"26","CA","6001403000",352394,0,0.136,0,37.8004341,-122.2707274
"27","CA","6001403100",346852,0,0.134,0,37.8022741,-122.2755012
"28","CA","6001403300",915837,96764,0.354,0.037,37.7944308,-122.2663244
"29","CA","6001403400",664234,602434,0.256,0.233,37.8026482,-122.2626597
"30","CA","6001403501",669873,0,0.259,0,37.8177398,-122.2600504
"31","CA","6001403502",182461,0,0.07,0,37.8159619,-122.2569401
"32","CA","6001403600",391491,0,0.151,0,37.8135075,-122.2534803
"33","CA","6001403701",173947,0,0.067,0,37.8112134,-122.2586656
"34","CA","6001403702",199100,0,0.077,0,37.8094979,-122.2520933
"35","CA","6001403800",652450,0,0.252,0,37.8148228,-122.2416681
"36","CA","6001403900",493102,0,0.19,0,37.8171784,-122.2487713
"37","CA","6001404000",366986,0,0.142,0,37.8233126,-122.2536627
"38","CA","6001404101",571739,0,0.221,0,37.8300795,-122.249816
"39","CA","6001404102",230172,0,0.089,0,37.8260219,-122.2510667
"40","CA","6001404200",2724001,0,1.052,0,37.8361135,-122.2344665
"41","CA","6001404300",1827346,25272,0.706,0.01,37.8446717,-122.2381046
"42","CA","6001404400",4119675,0,1.591,0,37.846243,-122.2150688
"43","CA","6001404501",1087924,5141,0.42,0.002,37.8271275,-122.2171515
"44","CA","6001404502",3071447,0,1.186,0,37.8345259,-122.2026155
"45","CA","6001404600",4827837,0,1.864,0,37.8198587,-122.1912195
"46","CA","6001404700",1200169,0,0.463,0,37.8133426,-122.2069935
"47","CA","6001404800",628405,0,0.243,0,37.8055076,-122.2131962
"48","CA","6001404900",1011185,0,0.39,0,37.8041422,-122.2215059
"49","CA","6001405000",800378,0,0.309,0,37.8120851,-122.2190899
"50","CA","6001405100",1256531,0,0.485,0,37.811425,-122.2322365
"51","CA","6001405200",858122,0,0.331,0,37.805277,-122.2433878
"52","CA","6001405301",227753,0,0.088,0,37.8020757,-122.2513558
"53","CA","6001405302",205566,0,0.079,0,37.7985075,-122.2543138
"54","CA","6001405401",313930,0,0.121,0,37.7965384,-122.2494562
"55","CA","6001405402",285369,0,0.11,0,37.7933319,-122.2461006
"56","CA","6001405500",411721,0,0.159,0,37.7982821,-122.243279
"57","CA","6001405600",428774,0,0.166,0,37.8008019,-122.2372726
"58","CA","6001405700",546860,0,0.211,0,37.7982307,-122.2296737
"59","CA","6001405800",519054,0,0.2,0,37.7939452,-122.2330985
"60","CA","6001405901",452588,0,0.175,0,37.787786,-122.2357701
"61","CA","6001405902",487280,0,0.188,0,37.7909447,-122.240953
"62","CA","6001406000",2113988,467979,0.816,0.181,37.7915385,-122.251342
"63","CA","6001406100",1843703,74875,0.712,0.029,37.7741755,-122.2275801
"64","CA","6001406201",408076,0,0.158,0,37.7850449,-122.230736
"65","CA","6001406202",392183,0,0.151,0,37.7819786,-122.2265557
"66","CA","6001406300",485744,0,0.188,0,37.7892881,-122.2250125
"67","CA","6001406400",487914,77534,0.188,0.03,37.796806,-122.2217201
"68","CA","6001406500",745043,0,0.288,0,37.7880813,-122.2169867
"69","CA","6001406601",747404,0,0.289,0,37.7936093,-122.2079606
"70","CA","6001406602",414724,0,0.16,0,37.7964782,-122.2143072
"71","CA","6001406700",1683727,0,0.65,0,37.8033164,-122.2022249
"72","CA","6001406800",912527,0,0.352,0,37.7978944,-122.1949575
"73","CA","6001406900",873127,0,0.337,0,37.7932754,-122.1903789
"74","CA","6001407000",862936,0,0.333,0,37.7879458,-122.2024901
"75","CA","6001407101",370838,0,0.143,0,37.7831287,-122.2143966
"76","CA","6001407102",660863,0,0.255,0,37.7807761,-122.2102385
"77","CA","6001407200",715071,0,0.276,0,37.7777848,-122.2192819
"78","CA","6001407300",2370917,209265,0.915,0.081,37.7621786,-122.2109235
"79","CA","6001407400",511491,0,0.197,0,37.7710407,-122.2067479
"80","CA","6001407500",494511,0,0.191,0,37.769515,-122.1976091
"81","CA","6001407600",1022712,0,0.395,0,37.7775293,-122.2031992
"82","CA","6001407700",918668,0,0.355,0,37.7765228,-122.1931965
"83","CA","6001407800",1234692,0,0.477,0,37.7817417,-122.1866598
"84","CA","6001407900",1099097,0,0.424,0,37.7884273,-122.1847831
"85","CA","6001408000",1955676,0,0.755,0,37.8029607,-122.1828709
"86","CA","6001408100",8935571,0,3.45,0,37.7853987,-122.1572109
"87","CA","6001408200",901765,0,0.348,0,37.7751005,-122.1755728
"88","CA","6001408300",1521670,0,0.588,0,37.7710979,-122.1645167
"89","CA","6001408400",542658,0,0.21,0,37.7646056,-122.1709595
"90","CA","6001408500",831360,0,0.321,0,37.7604176,-122.1785112
"91","CA","6001408600",1061441,0,0.41,0,37.7661975,-122.182303
"92","CA","6001408700",1130613,0,0.437,0,37.7688608,-122.1889459
"93","CA","6001408800",1204352,0,0.465,0,37.7588039,-122.1969422
"94","CA","6001408900",802406,0,0.31,0,37.7541816,-122.1887803
"95","CA","6001409000",16927915,4382424,6.536,1.692,37.7296943,-122.2161623
"96","CA","6001409100",490550,0,0.189,0,37.7323419,-122.1834828
"97","CA","6001409200",716800,0,0.277,0,37.729083,-122.1778389
"98","CA","6001409300",1076280,0,0.416,0,37.7378466,-122.1733599
"99","CA","6001409400",1253613,0,0.484,0,37.744613,-122.1803623
"100","CA","6001409500",836612,0,0.323,0,37.7504463,-122.1837659
"101","CA","6001409600",747478,0,0.289,0,37.7532669,-122.1726197
"102","CA","6001409700",811304,0,0.313,0,37.7564187,-122.1658929
"103","CA","6001409800",1790024,0,0.691,0,37.7603611,-122.1557637
"104","CA","6001409900",4332544,0,1.673,0,37.7619727,-122.135825
"105","CA","6001410000",6562265,145283,2.534,0.056,37.7447566,-122.1332163
"106","CA","6001410100",784437,0,0.303,0,37.7478641,-122.1535294
"107","CA","6001410200",585845,0,0.226,0,37.7453063,-122.1571742
"108","CA","6001410300",578329,0,0.223,0,37.7466798,-122.1661407
"109","CA","6001410400",706611,0,0.273,0,37.7408161,-122.1621741
"110","CA","6001410500",724476,0,0.28,0,37.8100159,-122.2889571
"111","CA","6001420100",552476,0,0.213,0,37.8947731,-122.2910214
"112","CA","6001420200",463184,0,0.179,0,37.8944657,-122.2974678
"113","CA","6001420300",1303595,1109281,0.503,0.428,37.8906499,-122.3181164
"114","CA","6001420400",1108467,1632801,0.428,0.63,37.8862111,-122.3141637
"115","CA","6001420500",416291,0,0.161,0,37.8867059,-122.2950048
"116","CA","6001420600",789445,0,0.305,0,37.8870335,-122.2870622
"117","CA","6001421100",745510,0,0.288,0,37.899434,-122.2661928
"118","CA","6001421200",1354148,1509,0.523,0.001,37.8975481,-122.2752271
"119","CA","6001421300",1106645,0,0.427,0,37.8911093,-122.2813663
"120","CA","6001421400",474778,0,0.183,0,37.8883409,-122.270922
"121","CA","6001421500",1590678,3635,0.614,0.001,37.8918549,-122.2591778
"122","CA","6001421600",1333470,0,0.515,0,37.8839395,-122.2559781
"123","CA","6001421700",573822,0,0.222,0,37.8819398,-122.2701842
"124","CA","6001421800",528477,0,0.204,0,37.8802854,-122.2782006
"125","CA","6001421900",855101,0,0.33,0,37.8794875,-122.289635
"126","CA","6001422000",4519576,5864363,1.745,2.264,37.8578054,-122.3012478
"127","CA","6001422100",551943,0,0.213,0,37.8733067,-122.2965336
"128","CA","6001422200",675011,0,0.261,0,37.8728828,-122.2878171
"129","CA","6001422300",560047,0,0.216,0,37.8740722,-122.2779152
"130","CA","6001422400",475570,0,0.184,0,37.8752396,-122.2695878
"131","CA","6001422500",460335,0,0.178,0,37.877313,-122.2603183
"132","CA","6001422600",1699288,0,0.656,0,37.8737724,-122.254627
"133","CA","6001422700",348098,0,0.134,0,37.8679235,-122.249491
"134","CA","6001422800",408571,0,0.158,0,37.8667875,-122.259979
"135","CA","6001422900",544282,0,0.21,0,37.8678899,-122.269247
"136","CA","6001423000",730083,0,0.282,0,37.8668441,-122.2771352
"137","CA","6001423100",748653,0,0.289,0,37.865807,-122.2863197
"138","CA","6001423200",456778,0,0.176,0,37.8645164,-122.2936857
"139","CA","6001423300",726625,0,0.281,0,37.8573281,-122.2842016
"140","CA","6001423400",755443,0,0.292,0,37.8583735,-122.275884
"141","CA","6001423500",635744,0,0.245,0,37.8593612,-122.268048
"142","CA","6001423601",523436,0,0.202,0,37.8588898,-122.258719
"143","CA","6001423602",404545,0,0.156,0,37.8631828,-122.2592684
"144","CA","6001423700",728690,0,0.281,0,37.8618284,-122.2490093
"145","CA","6001423800",1072454,0,0.414,0,37.8547521,-122.2440171
"146","CA","6001423901",395613,0,0.153,0,37.8522414,-122.2675674
"147","CA","6001423902",309231,0,0.119,0,37.8547567,-122.2573858
"148","CA","6001424001",507529,0,0.196,0,37.8503694,-122.2746228
"149","CA","6001424002",327217,0,0.126,0,37.8504771,-122.2815375
"150","CA","6001425101",590871,2045459,0.228,0.79,37.8382532,-122.3054128
"151","CA","6001425102",735195,0,0.284,0,37.8398713,-122.2946336
"152","CA","6001425103",874832,0,0.338,0,37.8425491,-122.2898096
"153","CA","6001425104",1087224,0,0.42,0,37.8326584,-122.2833246
"154","CA","6001426100",3043956,0,1.175,0,37.8216141,-122.2252882
"155","CA","6001426200",1358211,0,0.524,0,37.8246262,-122.2406411
"156","CA","6001427100",1025446,168187,0.396,0.065,37.764909,-122.2299614
"157","CA","6001427200",1329667,650377,0.513,0.251,37.780827,-122.248255
"158","CA","6001427300",1950568,861367,0.753,0.333,37.7810489,-122.2662775
"159","CA","6001427600",582861,0,0.225,0,37.7778323,-122.2835979
"160","CA","6001427700",999309,710016,0.386,0.274,37.7681553,-122.2868948
"161","CA","6001427800",831152,0,0.321,0,37.7714922,-122.2690581
"162","CA","6001427900",825214,0,0.319,0,37.7698045,-122.2582454
"163","CA","6001428000",525763,0,0.203,0,37.7666414,-122.2475404
"164","CA","6001428100",994804,38330,0.384,0.015,37.7589136,-122.2346068
"165","CA","6001428200",1362068,804737,0.526,0.311,37.7533497,-122.2396803
"166","CA","6001428301",4297936,1597302,1.659,0.617,37.7344929,-122.2414385
"167","CA","6001428302",2234426,474770,0.863,0.183,37.7439709,-122.249779
